timestamp,method,energy
2024-08-21T10:00:00.000Z,sun.nio.ch.FileDispatcherImpl.pread0,16.3882
2024-08-21T10:00:00.000Z,java.lang.ClassLoader.defineClass1,12.7937
2024-08-21T10:00:00.000Z,java.util.zip.Inflater.inflateBytesBytes,2.6303
2024-08-21T10:00:00.000Z,java.lang.Class.forName0,2.13
2024-08-21T10:00:00.000Z,java.lang.Throwable.fillInStackTrace,1.4765
2024-08-21T10:05:00.000Z,sun.nio.ch.FileDispatcherImpl.pread0,7.305
2024-08-21T10:05:00.000Z,java.lang.ClassLoader.defineClass1,3.3329
2024-08-21T10:05:00.000Z,java.util.zip.Inflater.inflateBytesBytes,0.8038
2024-08-21T10:05:00.000Z,java.lang.Class.forName0,0.6649
2024-08-21T10:05:00.000Z,java.net.URL.init,0.5836
2024-08-21T10:10:00.000Z,sun.nio.ch.FileDispatcherImpl.pread0,2.1139
2024-08-21T10:10:00.000Z,java.lang.ClassLoader.defineClass1,0.9802
2024-08-21T10:10:00.000Z,java.lang.Class.forName0,0.733
2024-08-21T10:10:00.000Z,java.util.zip.Inflater.inflateBytesBytes,0.3456
2024-08-21T10:10:00.000Z,java.util.concurrent.ConcurrentHashMap.get,0.3091
2024-08-21T10:15:00.000Z,java.lang.ClassLoader.defineClass1,8.3218
2024-08-21T10:15:00.000Z,sun.nio.ch.FileDispatcherImpl.pread0,7.1401
2024-08-21T10:15:00.000Z,java.util.zip.Inflater.inflateBytesBytes,2.1297
2024-08-21T10:15:00.000Z,java.lang.String.hashCode,1.5322
2024-08-21T10:15:00.000Z,java.lang.Class.forName0,1.234